09/01/2024 16:51:26.216 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | <Begin>
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : C:\Github Projects\Ashita-v4beta\
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\HiRes60FPSLargeHud.ini
09/01/2024 16:51:26.216 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Github Projects\Ashita-v4beta\\config\boot\HiRes60FPSLargeHud.ini
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   file : 
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   script : default.txt
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   args : 
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ashita.fonts]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   d3d8.disable_scaling : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   d3d8.family : Arial
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   d3d8.height : 10
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   mouse.unhook : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ashita.language]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   playonline : 2
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   ashita : 2
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ashita.logging]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   level : 5
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   crashdumps : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ashita.misc]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   addons.silent : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   aliases.silent : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   plugins.silent : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ashita.resources]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   offsets.use_overrides : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   pointers.use_overrides : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   resources.use_overrides : 1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ashita.taskpool]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   threadcount : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ashita.window.startpos]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   x : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   y : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ashita.polplugins]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   sandbox : 0
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize | [ffxi.direct3d8]
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbufferformat : -1
09/01/2024 16:51:26.216 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbuffercount : -1
